,tunes
518,"B,2A,2B,DEDD2E2D4|F2EDG2E2FEG2E4|ED2FGEDFE4E2G2|G2FGGA2dABE2ED3||D2A,2D2E2D2E2D4|E2G2A2G2GE2GD3E|EFD2GEDEE2D2E3G|ED3FEG2D4D4||G4F2A2d4ABA2|d2BdBAG2G2A2GAE2|E2GAGFAGA3ddAFA|d4dA2GdAEFD2E2||G4G2A2d4B2d2|a3bed3ABG2EFD2|DE2GABA2G2ABG2AB|EFE2E2AGE2D2D4"
519,"A4G2E2D3B,DEAG|E3DE2D2D4D4|d2B2G2E2D4B2d2|A2G2A2G2E2D2D4||A2G2G2E2D3B,D2G2|E4E2D2D4D4|d2B2G2FED4dB2d|A2G2A2G2E2D2D2E2||d4d3Bd4A4|E2D2A4A2G2G2BA|B4d4d4d2A2|A2G2A2G2E2D2D2E2||d4d4d4A4|A2E2F2A2A2G2A2B2|B2dBd4d2g2e2d2|A4A2G2E2D2E2DE"
520,d4a2gfg2f2d4|A4d4dBG2G2A2|d4e3fg2f2e2d2|g2e2d4d4d2B2||d4a2f2age2d4|A4d4d2G2G2A2|d4e4g2f2e2d2|g2e2d4d4d4||d'2ad'bae2g4g4|d'4d'2ad'a2g2a2bd'|b2g2a2e2f2e2g2d2|g2e2e2d2d4d4||d'bd'2a2e2g4g4|d'4d'2b2a2g2a2b2|d'2a2g2e2f2e2f2d2|g2e2ded2d4d4
521,GA2GAd3F2GEAd3|d2fAdgfddg2Bdfd2|gedefdAeBG2dd2ea|gd3B2GBA4dBAB||d2GEGA3E2AFd3e|edeBed2ededBd2ed|BdAGd2GdEDFGGE2G|GEFEBGAdD2EDFEDE||D2AGFA3E3GGF2A|BAGdfg2BAdedABG2|AdAede2AGAG2AGE2|F2E2D4G2FGF2E2||D2A2B2F2E2DED2GA|A2Bee2fdd4d3e|dedfdefdEGBAEGA2|D2E2G2dBF4F2G2
522,F4G2AGd2BAA2E2|BA2BA2G2G2B2dBd2|dBA2A4A4DE2D|ABedABA2G4E4||F4G2A2d2B2ABE2|B4A2G2AGB2dBd2|d2A2A4A4DE2D|dBd2dBGAG2FGE2G2||d2B2e2d2f2e2d4|g3abagafef2g4|d2A2d4f2A2d2G2|d2e2B2G2F4E2A2||d4e3df2e2d4|b2d'2d'4d'2e2e4|b2f2e2gfd2BAd2A2|d2e2B2G2F2G2F2E2
523,"E4E2D2E2A,B,B,2D2|D2B,2D2A,B,D2A,2A,2DE|G3AG2F2E2D2G2E2|E2D2ED3D4D4||E4E2D2E2A,B,B,2D2|D2B,2D2A,B,D2A,2A,2E2|G3AG2F2E2D2G2E2|E2D2E2D2D4B,D3||G2A2BAG2AGE2E2D2|D4D2E2E2d2d2Bd|G2d2d2B2A4d2A2|F2D2D4D4D4||F2A2B2GAA2E2E2D2|D4D2E2EFd2d2B2|B2d2d2B2d4A4|G2E2D4D4D2B,2"
524,B2d2d2B2d2G2d2G2|GF3G2d2e2d2d2B2|B2d2d4G2B2B2GF|d2f2d2e2d2A2A2G2||B2d2deB2d2G2d2FG|G2F2GFd2e2d2d2B2|B2d2d4G2B2B2GF|edf2d2e2d2A2A2GA||B2fgd2e2e2a2efd2|e2gff2e2a2d2f4|d2e2e2g2g2d2b4|e2b2e2gfd2A2A4||d2f2d2e2e2a2e2d2|a4a4d'2e2e2g2|d'4ag2fd2A2d2A2|B2G2G2d2d2A2A4
525,G2E2B2ede4efba|a3fgd'2agd'bfdfe2|aefgd2FBA3ddBdg|bgefgedae4d2ed||ABF2d2g2a2e2e2a2|a2e2d'a2bd'bgfdfde|dBAGad2eAGA2d4|gefeafdaed2Age2d||a2d'2a2bd'a2d'2gfeg|bd'bd'a2gdgba2gede|gd'ad'gdfBegfgfd2e|g3bbabeededfe2f||bad'2g2bad'4g4|g3ab2d'2ga3d3e|dfdaagbfde3d2ef|e2dgfg2dd2e2d4
526,g4g2fed4B2G2|E2A2e2g2g2f2f3e|g4gfe2def2aba2|gefgd2e2e4d2e2||g4g2fed4B2GA|E2A2e2fgg2efe2f2|f4a2gaa2d'abd'g2|gfe2agabefd2afa2||g4age2d2f2a2g2|d2eff2d2e2d2d4|a2g2g2d2efabd'2a2|g3fd4d4a4||ag3g2f2ba2gg4|e2f2e2d2e2d2d2e2|d'2b2ab2aabe'2g2fg|gfefa2d'2a2efg4
527,f2e2g2e2e2d2d3e|f3ge2d2e2g2gaed|d'2b2g2e2d2e2d2f2|g2agg2e2gfa2e4||f3eg2e2e2d2d2ed|f4e2d2e2g2g2fe|d'2b2g2e2d2e2edf2|g2a2g2e2e2gebag2||d'bgaa3bd'2e'2d'2a2|d'2b2g2a2g2e2f2ef|d'4g4d'4age2|e2f2a2f2g4a4||b2a2a4d'2e'2e'd'ba|d'2b2g2a2g2e2f2e2|d'4g4d'4age2|e2f2a2f2g2a2f2g2
528,"D4D2G2G2E2EDE2|E2D2D2B,2B,3A,A,2B,2|E2DFFDEFF3GBA3|d2GAEDE2A4A4||D4D2G2G2E2E4|F2D2D2B,2B,DB,2A,2B,2|E2D2FEF2EF2EEFD2|FEG2d2ABA4A2G2||A4G2A2A4F2A2|G2A2G2B2E2FGF2G2|BdA2E2G2A2GAAGD2|GFE2D2F2BA3A2G2||A4G2A2A4F2A2|G2A2G2A2E2G2F2EF|F2DEFGA2EFGAE2G2|F2G2A2GFG2A2A2G2"
529,A2e2g2edfafebd'fg|ged2e2d2fgd2d2B2|d2gfgfd2fe3b2ga|d'a3e2age4d4||A2fef2e2egbga2g2|agd2ed3fgd2d2B2|d2g2efgfd'4d'e'g2|d'2f2g4e2d2fd2e||a4d'2ad'd'2ad'e'd'2e'|e'2a2e'2d'2d'2b2a2ga|d'4d'2abd'3e'e'd'3|d'ag2f2age2d2d4||a2bad'2ad'd'4e'd'3|d'2b2d'4e'2a2bd'3|e'2d'2d'e'd'2d'2f'2e'2d'2|a2g2g4e4d4
530,DED2E4A4A2GA|G2D2G2D2E2GFA2G2|F2EFG2FGA4A2G2|G2E2E2D2E3FFE2F||D4E4A4A4|G2E2G2D2E2GFA2G2|F2EFG2F2A4A2G2|G2E2E2DEEFE2E2D2||A2d2d2B2B2G2F2A2|GA2Gd4d4d4|A2d2d2BAA2G2B2A2|F2E2DE3FE3E2DE||AGd2d2B2B2G2F2A2|A4d4d2B2d4|A2d2d2B2A2G2B2A2|G2E2D2EDF2E2E4
531,G4A4A4d2B2|A2d2BAd2d4d2G2|G2A2A2G2E2A2A2Bd|d4B2A2A2F2E2F2||G4BA3A4d2B2|A2d2B2d2d4d2G2|G2A2A2G2E2A2A2Bd|d4ABA2A2F2E3F||g2a2a2g2g4g2fg|g4g2e2d4BdG2|f2gae2f2g3ff2a2|f2e2d4B2G2G2A2||g2a2a2g2g4f3g|g2a2g2e2d4B2G2|d2e2d4e2g2g2f2|gfd2d2G2G2E2E2F2
532,d4e2d2A2d2A2d2|d2e2ded2e2d2d4|e2ded2BdG2d2B2F2|B2d2A2G2E2D2D4||d4e2d2A2d2A2d2|d2e2d4e2d2d2ed|e2d2d2B2G2d2B2F2|dBd2A2G2E2D2D4||d'3f'a4efedd4|g2b2a2g2a2g2gabd'|f2b2a2f2d2A2ABd2|d4B2G2F2D2D4||d'4a4fgd2d2e2|g2b2g2fga2g2a3b|gfb2a2f2d2B2B2d2|d4B2G2F2D2D3E
533,g4a2g2e4d2ga|B3de2f2d4d4|g2f2a2f2g2e2f2d'2|a3gfgd2e2d2d4||g4a2g2e2deedg2|dBABfe2fd4d4|g2f2gaf2g2d2agab|bag2f2d2e2d2d4||bd'abg4abd'2abag|d'4d'2a2fge2e2d2|a4g2a2d'3e'd'2ag|a2g2g2defed2d4||d'ba2g4b2d'2a4|d'4d'2a2g2e2e2d2|a4g2a2d'4d'4|g4f2d2f2d2d4
534,D2EDE2G2Bdedd2A2|A4G2E2GFG2E4|D4A2F2B2GAfd2e|ged2GFGAGAGFF4||D2EDE2G2Bdedd2GA|A4G2E2GFG2E2DE|D2A2d2edded2d4|fed2baefd3AA2B2||d2B2G2d2d4B2G2|G2F2A2B2d4d2G2|A4G2B2e2ABfeAd|e4A2d2B2GFG2d2||d2B2G2d2d4B2G2|G2F2A2d2d4d2G2|A4GAd2e2fgede2|e2d2d4A2G2G4
535,"A,B,2A,A,D3D2B,A,D2E2|G2E2F2D2E2G2G4|D4D4D2E2D4|B2G2G2E2D4D2B,D||A,3G,A,2D2D2B,A,D3E|A2EFE2D2E2G2G4|D4D4D2FED4|B2G2A2E2D4D2E2||B2d2d4d2G2A2G2|G2A2e4fe3f2e2|d2BABdG2d2D2d2F2|d2A2G2E2D4D2F2||A2d2d4d2G2G2d2|e4e2b2d'2f2f2g2|a2d2e2feB2GFA2d2|d2G2G2E2D4DB,3"
536,A3GG4G4A2G2|A2G2d2A2e2fee2d2|B2A2G4G4A2D2|dBe2d4d4d2A2||A2G2G4G4A2G2|A2GAd2A2e3fe2d2|B2A2G4G4A2D2|dBe2d4d4d4||d4d4e3dd4|d4d4d2g2g4|e2d2d4e2d2e2d2|e2f2d2B2d2B2B2e2||d4d4e2d2d4|d2e2e2g2g2e2g4|a4b2g2fgf2d4|edf2d2B2d4d2A2
537,A2G2EFE2G2D2E2D2|A2E2G2D2E2G2GAE2|d2A2D2F2E2G2F2A2|B2d2d2A2G2E2F2E2||A2G2F2E2G2D2E2D2|A2E2G2D2E2G2G2E2|d2B2D2F2EFG2F2A2|B2d2d2A2G2E2E2G2||d4d2f2g4f4|f2e2f2g2e2d2B2d2|f2g2d2agaba2g2e2|d4d2A2G2F2E2G2||d4d2f2g4f4|g2f2feg2e2d2d2A2|G4FG3F2A2A4|A2d2d2A2G2F2F2E2
538,d4d2fee2d2d2A2|A3Gd4de2dded2|e3dgeded2AddB2d|dBd2d2e2d2GFG4||d3Ad2a2f2d2d2A2|A2G2ed2ed2efd4|d4fe3Bd3d2A2|d4edefdBG2G4||g4gad'2d'2b2a4|d'4d'e'2d'bd'3d'bga|fgad'abagd'2a2a2fe|gabae3dd2G2G4||f2g2a2d'2d'2b2a4|d'4d'4d'4bag2|a3d'd'3bg3aa2g2|de3fe3d2A2A2G2
539,d2feb2aggagfege2|d2A2f2gfd2A2A2G2|B2dBe3dg2aggaga|afg2ge2aaba2e4||d2feaba2ga2gf2e2|d2A2gf3d2A2A2GA|B2dBe2gfa3ga2eg|agd2d'fgafedAgef2||g4ga3d'4d'4|b2abd'2bag2d2BdA2|e4gag2d'4d'2bd'|aba2abd'dfefee2d2||g4g2a2d'4d'4|b4d'3bg2d2B2A2|e4gad'2d'4d'2bd'|gagagad'ee4d2e2
540,G2E2F2A2A4G4|G4B4G3FG4|d4d2BdBA2dAd2e|dBABBdG2A2G2G4||G2E2F2A2A4G4|G4B2ABAG3EFA2|BdA2edGBAGA2A2Bd|EDBGfed2G4G4||G2e2e2d2B2A2G2A2|A2d2d4A4A2FG|d3gagedBd3dGEF|B3AE2G2A2G2G4||G2ede2d2B2A2G2A2|B2d2d4A4A2GA|deBed2edAd3Bd3|E4d2A2G4G4
541,B4A2G2F2E2E2F2|D2E2G2A2B4A2F2|G2A2B2G2G2EFG4|BA2Bd4A2G2F2E2||d2A2A2G2F2E2E2F2|D3EG2A2B4A2F2|G2A2B2G2G2E2G4|B2GAG4E4DEDE||A2B2d4d2e2d2e2|d4d4e4d2A2|B2d2d2e2d2e2d2e2|d4BAG2F4E2F2||d4d4d2e2d2e2|d4d4e4d2A2|dBd2f4a2f2f2e2|d4d4dBAGG4
542,d4d2e2e2d2d2A2|d4d4e2g2gfe2|d4d4e2d2d2B2|A2d2d2G2B4dBd2||d4d2e2e2d2d2A2|d4d4e2g2f2e2|d4d4e2d2d2AB|A2d2d2G2d2B2d2Bd||d2a2a2b2a2g2g4|b2d'2d'2a2a2d'2b2a2|f2a2a2b2a2g2g2f2|e2d2d2A2dBd2B4||d2aga2b2a2g2g4|b2d'2d'2a2b2d'2b2a2|b2a2bd'3d'4d'2a2|a2e2e2d2B4B4
543,EFE2D4E2D2D4|FEFGGFD2D4D2E2|G2D2E2D2E2D2FE3|ABd2G4BABdd2A2||EFE2D4E2D2D4|F3GGFDED4D2F2|G2DEE2D2E2D2F2E2|B2d2A2G2FG3GAG2||B4d4d4d2B2|d4d2A2F2G2F2E2|d2A2A2B2d4d2A2|A2d2A2G2F2E2A4||B4d4d4d2B2|d4B2A2F2G2F2E2|fea2a2g2d4d2A2|BAd2A2G2F2G2G4
544,d4ef2gg2e2e2d2|d4e2feegd2d2BA|edfdefe2dedee3g|gefggdfd'a2g2d2ef||d2edefbab2gfd4|d2ABaga2f2d2d2A2|d2edfgefedfggede|gegebegd'agdBaede||d'2f2d'2e'f'g'f'e'2d'4|e'2d'2e'f'e'2d'bd'2d'2ab|g'2e'f'd'e'2d'd'e'd'e'd'4|gd'2bbd'2fe4e2d2||d'4d'3e'g'2e'2d'4|f'e'3e'f'g'e'd'bd'2a2ed|abad'bd'e'd'ad'3d'2ba|ga2bbd'2gefe2d2ef
545,"D3B,B,D3F2EFE2D2|D2B,2EFE2F2E2D2E2|D2E2D2E2G2FGG2D2|G2ABE2G2G2F2E4||D4B,D3F2EFE2D2|D2B,DE4G2E2D2E2|D2E2D2E2G2FGG2D2|G2ABFEG2G2F2EFE2||d4e2d2d2A2A4|A4A2G2G2d2A2d2|d4d4d4d2e2|d2A2G4A2F2FE3||d4e2d2d2A2A4|B4A2G2G2d2A2B2|A3BB2A2d4d2e2|d2A2G4A2F2F2E2"
546,d2A2g2d2a2d2efd2|d4dBA2G2E2D2FE|d4e2d2d2B2gfd2|g2d2e2f2a3gf2de||d2BAg2d2g2edg2e2|d4d2A2G2E2D2F2|d4e2d2d3Bg2d2|agd2e2g2ga2gd'4||d'2ad'badeg4g4|a4f2d2g2d2e2g2|d'4e4d4g4|d'2f2g2e2g4a2b2||d'4age2g2fgg4|a4g2d2g2d2d2A2|B2e2e4d4f2g2|d'2f2g2f2d'4d'2a2
547,g4gfe2d4d2f2|gf3g3ead'2abd'2a|abg2agf2fe2ge3f|e2fee4d2efd4||g4f2e2d4d2f2|g2e2agf2d'3bb2d'b|ga3d'3ag2a2g2e2|edf2f2ded4fede||d'bd'2d'2e'2d'3bga3|d'2baabd'2gbd'aa2g2|d'4d'4d'2b2bagf|f4fe2dd4e4||d'bd'2d'2e'2d'2b2g2ba|d'2baa2d'2gad'aa4|d'2bd'd'4d'4g4|e4f2d2d4d4
548,e4f2d2e2feg2a2|g2agefgdgd'2ffag2|gfegae2ffedefe2g|fd2eed3d4d4||fgfee2d2e2feg2a2|agefgef2a3gg2a2|e2d2ae2fe3defde|d4g2e2d4d4||a4a4g4g4|g2f2g3ead'a2fgag|ab2d'ba2fg2f2ged2|e4ed3d4d4||babad'4d'2a2g2a2|f2e2g2d'bga3efg2|fg2abd'2aeg3ed3|d4e4d4d4
549,G4d2ede2f2d4|d4e2d2dBd2B2A2|E2FGd4d4d2BA|f2g2fedef2efd4||G4d2e2e2f2d4|d4e2d2dBd2B2A2|EF3d4d4d2B2|f2g2ef3g2d2fe3||fg3f2g2g4e4|a4g4a3ggfd2|g2e2d2e2g4g2a2|a2gaa2g2e2d2e4||fg3f2g2a2g2e4|d'4d'4b2g2f2d2|g2a2a2b2g2fef2a2|b2a2g2e2e2d2d4
550,d4e2d2f2e2d4|e2A2d2A2e2fef2g2|g2e2f2gfga2ggag2|ed3d4d4d4||d4e2d2fe3d4|e2A2d2A2e2f2f2g2|a2g2g2febad'ba2eg|ed3d4d4d4||d2e2g2a2d'2b2a4|a2f2g2a2a4gaga|d2b2b4d'4d'agf|e2d2d4d4d4||d4g2a2d'2b2a4|g2f2g4b2a2g4|a4a2b2d'4a2g2|e2d2d4d4d4
551,A4B2GAF2G2d2B2|A2E2G2E2d2A2d2A2|A2G2F2G2B2d2ABF2|d2G2G4A2E2E4||GA3BAGAF2AGd2B2|A2E2G2E2d2A2d2A2|A2G2F2G2B2d2ABF2|d2G2G4A2E2E4||G2d2d4d2A2A2G2|E2G2B2d2d4f2d2|B2d2d4d2F2d2A2|dBG2B2G2A2E2E4||A2d2d4d2A2A2G2|E2G2B2d2d2e2e3f|a2g2f2e2d2BAd4|d2A2A2G2A2E2E4
552,d2e2g2e2ede2d2gf|d2gddfgddgafegfe|gfaga2gaefeffgef|edeffe2ag4dBe2||f2agg2agg3fe2ga|gd2ed'fdgg4e2fe|g2feagaggf2ggede|gde2gfegefBFae2f||d'2b2d'2bd'e'd'3d'4|f'e'2f'e'f'g'd'gbd'2d'4|d'bd'2d'3bd'2bd'd'3b|gb2ad'baeed2eefed||d'4d'2abe'2d'2d'4|d'2e'2f'2d'2bd'3d'2bd'|e'2d'e'd'4d'2bd'b2ag|fa3a2bge4e2f2
553,d4e2d2B2e2d4|ABA2d4gad2d4|d3eed3B2e2A2BA|d2g2e2d2d2B2A4||d4e2d2B2e2d4|AB2Ad4g2d2d4|d3eed3dBe2A2BA|d2g2e2d2d2B2ABA2||ba2ba2g2e2d2d2e2|g2fgd'2egd'ag2d'2a2|f2g2a2f2e2d2e2g2|a4e2d2d2B2A4||bab2a2g2f2d2d2e2|g4d'2g2d'bagd'2a2|g2d'2a2g2e2d2d2g2|a2g2e2d2d2B2A4
554,gag2agf2d4d4|d4d4d2a2a2f2|e3ffe3d2f2e2d2|A2f2a2feg2abbaga||a2g2g2efd2e2d4|d4d4d2a2a2f2|e3ff2e2d2f2e2d2|B2e2d4d4fe2f||agd'2d'4feg2b2ab|g2bd'd'2ad'd'2ad'd'2ga|agd'2d'2abf2g2e'd'3|aba2g2d'2agd'2bd'3||a2d'2d'2bd'gfg2b2a2|a4d'4f'e'abd'4|d'4d'4d'4d'2ga|d'4d'4d'2g2fe3
555,d2G2A2G2d2BdB2d2|d4d2A2e2g2e2d2|d2G2BdGFd2A2d2A2|d2B2A2G2G2E2F2E2||d2G2A2G2d3BB2d2|ded2d2A2e2g2e2d2|d2G2BdGFe2A2d2G2|d2B2A2G2GADEE2B2||a4a2g2e2d2d4|d2f2e2g2g4e4|d'2b2g2a2f2e2d4|e2d2A2G2G2D2D2d2||a4a2g2f2d2d4|d2f2e2g2g4e2f2|a4g2a2g4d2e2|e2d2A2G2G2E2F2GF
556,d4g2fed4d4|A3BB2d2B2A2G4|d4e2d2d4d2AB|d4AGB2dBA2A2G2||d4g2e2d4d4|A4dBd2B2A2G4|d4e2d2d4d2AB|d2B2A2B2BdA2A2GA||d'2bd'b2agefe2g2f2|a4f2d2d4d2B2|a4g2e2d4f2e2|d4A2B2dBG2G4||d'4a3ge4g2f2|a4gfd2d4d4|g2a2g2e2d4e4|d4A2B2d2G2G4
557,GAE2A2GAAG2AA2e2|e2d2e2d2g2e2ded2|Bd3B3dGFdeGFd2|d4e2d2B2A2A4||GAE2A2GAA2G2A2e2|e2d2e2d2f2e2d4|B2d2dB2dG2e2F2e2|d4e2d2B2A2A4||f2e2g2b2g2f2d2f2|d2e2a4e4f2d2|g4e2d'2a2b2d4|d4f2d2d2A2A2B2||f4g2a2g2f2d2f2|a2b2d'4d'2g2e2f2|g2f2f2d'ba4e4|d4e2d2BdA2A4
558,"E2F2E2D2D4D2E2|G2A2F2D2D4B,4|F2G2FGE2D4A2G2|dBABG2d2e2d2d4||EFE2E2D2D4E4|G2A2F2D2D2B,DB,4|G2FGG2E2D4A2G2|B2d2e2ded2edd4||A2G2G2A2F2G2G2D2|G2A2A2B2A4E2D2|d4A2d2A2G2G4|A2B2d2edd4d4||A2G2G2A2G2F2G2E2|G2A2A2dBA4F2D2|B2d2A2d2A2G2G4|A2dBd4BdB2A3B"
559,d4e2d2e4e2fg|f2d2d2G2d4BdBA|dAdeged2e2Bdgf2a|gde2ed2efe3d4||d4e2d2e4f3g|gfd2d2G2d4AB2d|d4d2geefedegd2|f2d2badfe2dAfe2d||d'2gaedfga3bg2e2|e2d2d4efg2d4|bd'2bfegfg2fgafef|g2fgfg2ded3e2d2||d'ba2edf2a3ba2f2|e2d2d4e2g2d4|g2efg2d'ba4g2fg|d3ega2ed3ed4
560,e4e4d2e2gfe2|f2d2d2B2G2F2G4|e2d2d2B2d4g4|f2aga2gfa4e4||e4e4d2e2f2e2|f2d2d2B2G2F2G4|e2d2d2B2d4g4|f2aga2g2a2f2agef||a4bd'a2a2bd'd'2a2|agb2a2g2e2d2d4|g2a2b2g2d'2b2d'2a2|efg2g4g4g2ef||a4b2a2d'4d'2a2|a2bab2g2e2d2d2e2|g2a2b2g2d'3bd'2a2|efa2e2g2ag3e2f2
561,d4d4B2F2E4|A2G2A2E2FE3E4|AGA2BA3A2F2FE3|G2ABA2G2E4E4||d4d4B2F2E4|A2G2A2E2FE2FDE3|A4A4A2F2EFE2|G2B2A2G2E4E2G2||B2d2d2e2e4e4|d2e2d2f2d4d4|d2e2e2d2d4d4|d4A2G2E4E2FG||B2d2d2e2e4e4|d2e2e2f2d4d4|a4f2e2d4d4|d4A2G2EFE2E4
562,e2f2g2efe2d2g2e2|BAd2d2e2edB2d4|g2agg2fed2e2d'4|d'babg2d'2d'2a2f2g2||e2agegbag3ff2e2|dBd2d2e2e2B2d4|g2a2g3fd2e2d'2a2|d'2egedd'ba2edd'g2a||d'2g2d'a2d'f'e'd'2e'2d'2|e'2bd'e'2bd'd'bg2fefg|d'2e'2d'4d'e'g'2f'g'f'e'|d'e'd'2abd'aag3g2a2||bad'bd'b2d'e'2d'2d'4|g'f'e'f'f'e'd'2d'2e2e2g2|d'4d'bd'2b2d'2d'3b|bd'3gae'd'd'2abg4
563,A2BAg2e2ga3a2g2|fe3bd'3ad'aggagf|d4g2edabd'befa2|abd'aa2g2d2e2d4||A2BAg2e2a4a2gf|gfd2d'2bd'ba3g4|d4g2d2b2d'bgfg2|b2aba2g2d4fde2||d'4d'4a4g2ef|e'2d'e'd'3ba2g2g2de|f'2d'e'd'4a2d'2f4|a2d'2a3gded2ede2||d'4d'2a2ba3g3f|e'4d'4a2g2g2e2|d'4e'2d'2d'4f4|a2d'2a2g2e4d4
564,e2d2f3ge4d3e|ded2e2g2g4f2g2|d2e2e4g4e3f|f2g2f2d2e2d2d4||e2d2f4e4d2ed|e2d2e2f2ag3f2g2|d3ee2f2g4f4|f2g2f2d2e2d2d4||a2b2a2g2g4d2e2|f2g2fg2fd2f2e2d2|a4a2d'ba3ba2g2|e2g2g2d2e2d2d4||a4a2g2g2f2de3|f2g2fg3d2e2e2d2|a2baa2b2b2a2a2g2|d2g2f2d2e2d2d4
565,de2dd4A2f2a2g2|fg3f2e2e2A2dBd2|d4d4B2f2fed2|gfbd'd'bd'2d'4d'2b2||a4gag2B2geg2a2|agfge2g2e2A2dBd2|d4d4B2f2fed2|a2g2gea2f2d2gfg2||a4d'2a2e2f2a2ga|d'abd'e'd'bd'd'2g2a2g2|a2g2b2g2fgd2f2a2|ad'bd'd'e'd'aba2ba2ga||d'4d'4d'2age2ga|d'4e'2d'2e'd'f2g4|g2d'bd'2b2f2d2feba|d'2bd'bd'e'd'b3d'a2g2
566,EFD2D4G4E2D2|FEG2FGE2D4D2BA|d2E2E4A2edA2G2|A2d2F4E2F2G4||E2D2D4G4EFD2|E2G2FGE2D4D2B2|d2E2E4A2d2A2G2|A2d2A2FGFG3d4||d4d2B2d2A2A2G2|G2A2B2A2E2G2F2d2|e2G2A2G2d2B2A2F2|G2B2G2F2E2D2d2g2||d4d2B2d2A2A2G2|A4A4E2G2G2d2|f2e2e4d2B2A2F2|G2d2A2F2E4A4
567,A3GGABGGBAGded2|d3BdedBABA2EGFE|GE2FGEDGE3GAGde|fd2ed2Afd4d4||Bd2BABd2d2BAd4|d4d4BG2BE2G2|F2EDG2F2E3DGA3|ed2Bgd2fdBdGedfe||a2ege2ad'afg2ag2a|ga2d'd'bgfe3dd4|egeged3edBdedAe|g3aagadd4ed2e||e2fgd'2ad'e'd'b2agef|abad'g3ed4GA2B|GAdef3dA2BdBd2e|dedef2gdd4d4
568,g4a2gaabd'babd'2|gag2a2g2e2d2d4|d2e2d2efg2a2g2ab|d'2bad'2a2a4g4||g4g2a2bab2bad'2|a2fgbag2e2d2d4|d2e2d2f2a2g2agb2|d'2g2b2d'bf2d2gfef||d'4d'4ba3bd'ba|d'2g2g2a2abg2e4|b2d'2e'd'a2d'ba2aba2|bd'baa4gfe2efe2||d'4d'4a4b4|b2g2g2agb2g2e4|d'bd'2d'2b2d'2a2a2d'b|d'2baa2bafge2e2f2
569,G2dBe2d2gfg2gf3|gfd2d4e4f2d2|B2edd2Bde3gfega|a4g2f2d2efd4||G2dBe2d2g4g2ef|g2Bdd4e2fef2d2|ABd2edf2a2gffe2f|a4a2efd4fd2e||b4d'2bd'ag2aa2bd'|d'2g2b2d'2d'2a2a2g2|b3d'd'2bagfg2g2a2|g2a2a2gfde2de2de||b2d'bd'2b2bag2g2b2|d'2agb2d'2d'2a2a2g2|aga2a4ag3a2ba|e2a2a2g2d2gfd4
570,"E3FEFD2DB,D2EFE2|D4A2G2G2F2D2E2|F2G2FGE2D4G2E2|G4B2A2d2FGGFE2||E4E4D4E4|D4A2G2G2FGD2E2|E2G2FGE2D4G2E2|G4A2F2G2D2D4||d4d2edd4d4|A2G2A2d2d4d2B2|d4d2e2d4f2e2|e2f2d2edd2B2B2d2||d4d2e2e2Bdd4|d2G2A2d2d4d2B2|d4d2f2g4a2e2|f2d2d4B2G2G4"
571,d4g2d2f2d2d2e2|g2e2d2A2d4BdA2|d'2defed2e2d2e2g2|a2e2e2d2e4d4||d4fgd2f2d2d2e2|g2ded2A2d4ABdB|d'bdefed2fed2feg2|a2e2e2d2e2d2e3f||a2g2b2d'2e'd'3d'2e'2|d'2bd'd'4b2d'2d'2ad'|d'4d'4e'2d'2d'2g2|a2e2e2d2e2d2e4||a4bad'2d'4d'2e'd'|d'4d'4d'4b2d'2|f'e'd'2d'3be'2d'2d'2g2|g2e2e2d2e4d4
572,d3ee2d2d2A2A2G2|A2B2A2G2E2F2G2dB|e4ededededd4|ede2e2dgg3agfg2||e2f2f2e2e4d2BA|A2B2A4E2F2G2B2|f2a2a2e2e2d2e2Ad|d4eBgffedBgdef||d4e2f2a4g2f2|a4d'2a2e2d2d4|ABd2e2d2g2e2d'2a2|egfgg2fdfde2e2de||d4e2g2a4g2ef|d'4b2abg2d2BdB2|d2e2f2b2a2e2g4|dfe2degefed2d2e2
573,E2G2G2A2d2g2d2E2|d2G2A2FGE2A2A2d2|dBd2d4g2a2e2d2|e2d2d2B2G4G2A2||E2G2G2A2d2fgd2E2|d2G2A2FGE2A2A2d2|d4d4g2a2e2d2|ded2d2B2GAG2G3A||e2d2d4g2a2g2ef|b3d'd'2abg2e2f2e2|d2edf2g2d'2b2a2fg|e2d2d2B2A4A4||efd2d4g2a2g4|bad'2d'b3a2e2efa2|a2e2d2a2d'4g4|e2d2d2B2A4A4
574,ded2d4d2a2d'ba2|a4g2e2dedBe4|d2A2d2B2d2edd'2fg|a2d'2d'4ba3a2g2||ded2d4d2d'ba4|a4g2e2d3Be2de|d2ABd2B2Bdfed'2g2|a2d'2d'bd'2a2fed'a3||b4b2d'2e'd'2e'e'2d'2|d'2a2bag2a2e2e2f2|b2g2g2b2d'4d'2b2|g2d'2d'4aba2a2d'2||b4d'bd'2e'4e'2d'2|a4g2d'ba2e2e4|a2d'2e'2d'2d'2e'2e'2d'2|d'2bd'agd'2d'e'b2g2f2
